ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
ENGINERSIN.NS,Engineers India Limited,Engineering & Construction,Industrials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,63.2,65.0,64.01,0.0,63.2,65.0,64.01,36.99,57.35,2440451274.97,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",31,43,Stage 2,watchlist,weekly_breakout,61.26,12,2.750000000000007,False,False,False,False,False
UFLEX.NS,UFLEX Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_forming,watchlist,58.7,65.8,61.9,2.0,58.7,65.8,63.9,60.23,80.14,196627617.92,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",32,92,Stage 2,watchlist,weekly_forming,54.0,60,9.899999999999999,False,False,False,False,False
INDGN.NS,Indegene Limited,Healthcare,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,55.11,63.08,58.7,5.0,55.11,63.08,63.7,22.09,30.66,383054537.53,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",33,75,Stage 2,watchlist,weekly_breakout,56.19,42,7.510000000000005,False,False,False,False,False
APLAPOLLO.NS,APL Apollo Tubes Limited,Steel,Basic Materials,True,F&O,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,39.7,69.95,53.31,10.0,39.7,69.95,63.31,27.58,13.91,1403393426.36,"Stage 2, Early Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",34,34,Stage 2,watchlist,weekly_near_pivot,62.96,0,0.3500000000000014,False,False,False,False,False
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,36.98,73.0,53.19,10.0,36.98,73.0,63.19,33.57,75.67,258372439.31,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",35,36,Stage 2,watchlist,weekly_breakout,62.88,1,0.30999999999999517,False,False,False,False,False
HARSHA.NS,Harsha Engineers International Limited,Tools & Accessories,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,53.72,70.27,61.17,2.0,53.72,70.27,63.17,13.53,39.16,89906527.39,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",36,27,Stage 2,watchlist,weekly_near_pivot,65.61,-9,-2.4399999999999977,False,False,False,False,False
AARTIDRUGS.NS,Aarti Drugs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-09-24,,watchlist,weekly_near_pivot,watchlist,38.31,70.82,52.94,10.0,38.31,70.82,62.94,16.85,22.39,71505972.86,"Stage 2, Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong",37,1,Stage 2,near_pivot,weekly_near_pivot,82.07,-36,-19.129999999999995,False,False,False,False,False
WELCORP.NS,Welspun Corp Limited,Steel,Basic Materials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,35.88,73.8,52.94,10.0,35.88,73.8,62.94,94.73,242.3,5701871951.39,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",38,35,Stage 2,watchlist,weekly_near_pivot,62.94,-3,0.0,False,True,False,False,False
PITTIENG.NS,Pitti Engineering Limited,Metal Fabrication,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,40.77,65.8,52.03,10.0,40.77,65.8,62.03,22.82,59.49,216996353.63,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",39,37,Stage 2,watchlist,weekly_breakout,62.05,-2,-0.01999999999999602,False,False,False,False,False
PTCIL.NS,PTC Industries Limited,Metal Fabrication,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-09-24,,watchlist,weekly_breakout,watchlist,41.25,65.06,51.96,10.0,41.25,65.06,61.96,28.48,44.11,744023431.8,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",40,38,Stage 2,watchlist,weekly_breakout,61.91,-2,0.05000000000000426,False,False,False,False,False
