ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close
NAVA.NS,NAVA LIMITED,Conglomerates,Industrials,False,Cash,Stage 2 Failed,watchlist,23.1,-1.84,-0.72,-0.53,8.08,610.65
WELENT.NS,Welspun Enterprises Limited,Engineering & Construction,Industrials,False,Cash,Stage 2,watchlist,62.2,-1.85,2.6,13.3,10.27,567.3
AVL.NS,Aditya Vision Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 2,watchlist,55.57,-1.86,5.67,16.49,29.54,624.4
HCLTECH.NS,HCL Technologies Limited,Information Technology Services,Technology,True,F&O,Stage 4,watchlist,25.09,-1.86,-4.27,-4.82,-30.32,1109.5
CELLO.NS,Cello World Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,False,Cash,Stage 4,watchlist,16.11,-1.86,-1.99,0.38,-29.39,381.95
TATACOMM.NS,Tata Communications Limited,Telecom Services,Communication Services,False,Cash,Stage 2,watchlist,31.44,-1.87,6.69,5.45,12.7,2023.2
SWIGGY.NS,Swiggy Limited,Consumer Cyclical,Consumer Cyclical,True,F&O,Stage 4,watchlist,24.91,-1.88,-3.77,-0.08,-36.05,249.85
FIRSTCRY.NS,Brainbees Solutions Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 4,watchlist,24.47,-1.89,-0.99,-6.75,-24.34,217.17
SJS.NS,S.J.S. Enterprises Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,52.95,-1.9,-3.42,6.39,20.45,2143.7
ABBOTINDIA.NS,Abbott India Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 4,watchlist,28.03,-1.9,-2.03,-7.71,-10.23,25570.0
KTKBANK.NS,The Karnataka Bank Limited,Banks - Regional,Financial Services,False,Cash,Stage 2,watchlist,54.11,-1.91,-3.6,1.8,30.0,269.0
INDGN.NS,Indegene Limited,Healthcare,Healthcare,False,Cash,Stage 2,watchlist,42.09,-1.91,3.01,2.81,2.12,531.1
GODREJAGRO.NS,Godrej Agrovet Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 4,watchlist,23.3,-1.91,-1.64,-1.07,-0.39,566.05
