company_name,industry,symbol,Series,sector,ticker,f&o,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tech Mahindra Limited,Information Technology Services,TECHM,EQ,Technology,TECHM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Petroleum Corporation Limited,Oil & Gas Refining & Marketing,BPCL,EQ,Energy,BPCL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTM Limited,Information Technology Services,LTM,EQ,Technology,LTM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDAL STEEL LIMITED,Steel,JINDALSTEL,EQ,Basic Materials,JINDALSTEL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Bank of India,Banks - Regional,UNIONBANK,EQ,Financial Services,UNIONBANK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billionbrains Garage Ventures Limited,Capital Markets,GROWW,EQ,Financial Services,GROWW.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab National Bank,Banks - Regional,PNB,EQ,Financial Services,PNB.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Asset Management Company Limited,Asset Management,HDFCAMC,EQ,Financial Services,HDFCAMC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canara Bank,Banks - Regional,CANBK,EQ,Financial Services,CANBK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Vernova T&D India Limited,Specialty Industrial Machinery,GVT&D,EQ,Industrials,GVT&D.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Holdings & Investment Limited,Asset Management,BAJAJHLDNG,EQ,Financial Services,BAJAJHLDNG.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Bank,Banks - Regional,INDIANB,EQ,Financial Services,INDIANB.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Hospitals Enterprise Limited,Medical Care Facilities,APOLLOHOSP,EQ,Healthcare,APOLLOHOSP.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATA CONSUMER PRODUCTS LIMITED,Packaged Foods,TATACONSUM,EQ,Consumer Defensive,TATACONSUM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vedanta Limited,Basic Materials,VEDL,EQ,Basic Materials,VEDL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy India Limited,Utilities - Renewable,ENRIN,EQ,Utilities,ENRIN.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosch Limited,Auto Parts,BOSCHLTD,EQ,Consumer Cyclical,BOSCHLTD.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambuja Cements Limited,Building Materials,AMBUJACEM,EQ,Basic Materials,AMBUJACEM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL (India) Limited,Utilities,GAIL,EQ,Utilities,GAIL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cipla Limited,Drug Manufacturers - Specialty & Generic,CIPLA,EQ,Healthcare,CIPLA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
